id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2990941,KF1,2018-05-08 08:00:00,,,,,,
2990942,CD9,2018-05-08 08:00:00,70.5,74.3,208.8,,,
2990943,CT3,2018-05-08 08:00:00,45.0,56.2,,,,
2990944,CT2,2018-05-08 08:00:00,48.0,,,,,
2990945,BX9,2018-05-08 08:00:00,39.0,,,,,
2990946,BX1,2018-05-08 08:00:00,,56.8,84.7,,,
2990947,TH4,2018-05-08 08:00:00,,,,,,
2990948,ST5,2018-05-08 08:00:00,23.0,63.0,65.8,,,
2990949,RB7,2018-05-08 08:00:00,35.0,,72.0,,,
2990950,TD5,2018-05-08 08:00:00,26.7,,,,,
2990988,CD1,2018-05-08 09:00:00,,33.0,69.3,,,
2990989,BL0,2018-05-08 09:00:00,,34.3,53.6,,,
2990990,GR4,2018-05-08 09:00:00,21.7,34.2,29.3,,,
2990991,MY7,2018-05-08 09:00:00,,,,,,
2990992,HV1,2018-05-08 09:00:00,36.9,61.4,104.0,,,
2990993,GN3,2018-05-08 09:00:00,25.5,34.0,46.1,,,
2990994,GR9,2018-05-08 09:00:00,25.6,35.3,59.6,,,
2990995,LW2,2018-05-08 09:00:00,28.8,38.4,87.5,,,
2990996,GN0,2018-05-08 09:00:00,,35.3,53.5,,,
2990997,KF1,2018-05-08 09:00:00,,,,,,
2990998,CD9,2018-05-08 09:00:00,,,186.7,,,
2990999,CT3,2018-05-08 09:00:00,,,,,,
2991000,CT2,2018-05-08 09:00:00,26.0,,,,,
2991001,BX9,2018-05-08 09:00:00,27.8,,,,,
2991002,BX1,2018-05-08 09:00:00,,42.5,64.7,,,
2991003,TH4,2018-05-08 09:00:00,,,,,,
2991004,ST5,2018-05-08 09:00:00,21.0,50.0,43.8,,,
2991005,RB7,2018-05-08 09:00:00,26.0,,61.7,,,
2991006,TD5,2018-05-08 09:00:00,,,,,,
2991044,CD1,2018-05-08 10:00:00,,30.9,59.6,,,
2991045,BL0,2018-05-08 10:00:00,,24.5,35.0,,,
2991046,GR4,2018-05-08 10:00:00,11.0,29.6,21.8,,,
2991047,MY7,2018-05-08 10:00:00,,,,,,
2991048,HV1,2018-05-08 10:00:00,30.2,51.2,73.9,,,
2991049,GN3,2018-05-08 10:00:00,15.6,24.6,41.2,,,
2991050,GR9,2018-05-08 10:00:00,15.2,29.3,29.3,,,
2991051,LW2,2018-05-08 10:00:00,22.3,28.8,88.0,,,
2991052,GN0,2018-05-08 10:00:00,,27.8,40.4,,,
2991053,KF1,2018-05-08 10:00:00,,,,,,
2991054,CD9,2018-05-08 10:00:00,39.2,42.2,159.2,,,
2991055,CT3,2018-05-08 10:00:00,,,,,,
2991056,CT2,2018-05-08 10:00:00,21.0,,,,,
2991057,BX9,2018-05-08 10:00:00,17.5,,,,,
2991058,BX1,2018-05-08 10:00:00,,26.6,9.3,,,
2991059,TH4,2018-05-08 10:00:00,,,,,,
2991060,ST5,2018-05-08 10:00:00,16.0,44.0,40.1,,,
2991061,RB7,2018-05-08 10:00:00,24.0,,35.7,,,
2991062,TD5,2018-05-08 10:00:00,22.2,,,,,
2991100,CD1,2018-05-08 11:00:00,,31.5,59.5,,,
2991101,BL0,2018-05-08 11:00:00,14.0,25.3,39.6,,,
2991102,GR4,2018-05-08 11:00:00,11.8,28.6,13.6,,,
2991103,MY7,2018-05-08 11:00:00,,,,,,
2991104,HV1,2018-05-08 11:00:00,15.6,30.0,54.8,,,
2991105,GN3,2018-05-08 11:00:00,16.2,22.7,34.7,,,
2991106,GR9,2018-05-08 11:00:00,19.6,30.9,24.2,,,
2991107,LW2,2018-05-08 11:00:00,21.3,27.7,82.6,,,
2991108,GN0,2018-05-08 11:00:00,,21.5,30.4,,,
2991109,KF1,2018-05-08 11:00:00,,,,,,
2991110,CD9,2018-05-08 11:00:00,,,159.2,,,
2991111,CT3,2018-05-08 11:00:00,,,,,,
2991112,CT2,2018-05-08 11:00:00,21.0,,,,,
2991113,BX9,2018-05-08 11:00:00,12.7,,,,,
2991114,BX1,2018-05-08 11:00:00,,29.1,7.6,,,
2991115,TH4,2018-05-08 11:00:00,,,,,,
2991116,ST5,2018-05-08 11:00:00,14.0,44.0,35.1,,,
2991117,RB7,2018-05-08 11:00:00,22.0,,32.3,,,
2991118,TD5,2018-05-08 11:00:00,18.0,,,,,
2991156,CD1,2018-05-08 12:00:00,,33.4,52.5,,,
2991157,BL0,2018-05-08 12:00:00,,29.7,22.8,,,
2991158,GR4,2018-05-08 12:00:00,16.7,27.1,12.4,,,
2991159,MY7,2018-05-08 12:00:00,,,,,,
2991160,HV1,2018-05-08 12:00:00,17.5,31.8,52.6,,,
2991161,GN3,2018-05-08 12:00:00,17.5,24.7,32.5,,,
2991162,GR9,2018-05-08 12:00:00,16.3,22.8,15.0,,,
2991163,LW2,2018-05-08 12:00:00,23.3,33.7,81.7,,,
2991164,GN0,2018-05-08 12:00:00,,20.0,24.0,,,
2991165,KF1,2018-05-08 12:00:00,,,,,,
2991166,CD9,2018-05-08 12:00:00,46.8,50.3,,,,
2991167,CT3,2018-05-08 12:00:00,,,,,,
2991168,CT2,2018-05-08 12:00:00,22.0,,,,,
2991169,BX9,2018-05-08 12:00:00,16.2,,,,,
2991170,BX1,2018-05-08 12:00:00,,29.2,6.5,,,
2991171,TH4,2018-05-08 12:00:00,,,,,,
2991172,ST5,2018-05-08 12:00:00,,46.0,44.3,,,
2991173,RB7,2018-05-08 12:00:00,24.0,,17.9,,,
2991174,TD5,2018-05-08 12:00:00,18.2,,,,,
2991212,CD1,2018-05-08 13:00:00,,30.2,49.8,,,
2991213,BL0,2018-05-08 13:00:00,12.7,24.0,13.2,,,
2991214,GR4,2018-05-08 13:00:00,15.3,26.9,13.2,,,
2991215,MY7,2018-05-08 13:00:00,,,,,,
2991216,HV1,2018-05-08 13:00:00,16.5,27.2,47.8,,,
2991217,GN3,2018-05-08 13:00:00,16.0,30.6,34.1,,,
2991218,GR9,2018-05-08 13:00:00,17.7,27.1,25.4,,,
2991219,LW2,2018-05-08 13:00:00,23.6,35.5,100.2,,,
2991220,GN0,2018-05-08 13:00:00,,24.0,20.5,,,
2991221,KF1,2018-05-08 13:00:00,,,,,,
2991222,CD9,2018-05-08 13:00:00,,,,,,
2991223,CT3,2018-05-08 13:00:00,16.0,32.8,,,,
2991224,CT2,2018-05-08 13:00:00,23.0,,,,,
2991225,BX9,2018-05-08 13:00:00,,,,,,
2991226,BX1,2018-05-08 13:00:00,,35.7,8.1,,,
2991227,TH4,2018-05-08 13:00:00,,,,,,
2991228,ST5,2018-05-08 13:00:00,,48.0,38.2,,,
2991229,RB7,2018-05-08 13:00:00,23.0,,29.3,,,
2991230,TD5,2018-05-08 13:00:00,19.6,,,,,
2991268,CD1,2018-05-08 14:00:00,,30.7,59.7,,,
2991269,BL0,2018-05-08 14:00:00,,27.0,18.4,,,
2991270,GR4,2018-05-08 14:00:00,18.7,23.3,17.6,,,
2991271,MY7,2018-05-08 14:00:00,26.2,40.1,,,,
2991272,HV1,2018-05-08 14:00:00,17.3,29.1,49.6,,,
2991273,GN3,2018-05-08 14:00:00,17.5,25.3,37.4,,,
2991274,GR9,2018-05-08 14:00:00,17.6,27.5,25.2,,,
2991275,LW2,2018-05-08 14:00:00,18.0,29.6,65.0,,,
2991276,GN0,2018-05-08 14:00:00,,20.6,25.8,,,
2991277,KF1,2018-05-08 14:00:00,,,,,,
2991278,CD9,2018-05-08 14:00:00,,,,,,
2991279,CT3,2018-05-08 14:00:00,1.0,30.6,,,,
2991280,CT2,2018-05-08 14:00:00,18.0,,,,,
2991281,BX9,2018-05-08 14:00:00,17.9,,,,,
2991282,BX1,2018-05-08 14:00:00,,32.3,11.7,,,
2991283,TH4,2018-05-08 14:00:00,,,,,,
2991284,ST5,2018-05-08 14:00:00,17.0,38.0,45.3,,,
2991285,RB7,2018-05-08 14:00:00,20.0,,36.2,,,
2991286,TD5,2018-05-08 14:00:00,15.1,,,,,
2991324,CD1,2018-05-08 15:00:00,,27.6,43.8,,,
2991325,BL0,2018-05-08 15:00:00,,27.3,18.2,,,
2991326,GR4,2018-05-08 15:00:00,15.9,19.8,13.3,,,
2991327,MY7,2018-05-08 15:00:00,26.6,41.6,,,,
2991328,HV1,2018-05-08 15:00:00,18.2,34.2,44.8,,,
2991329,GN3,2018-05-08 15:00:00,16.6,26.9,33.6,,,
2991330,GR9,2018-05-08 15:00:00,16.9,26.5,32.5,,,
2991331,LW2,2018-05-08 15:00:00,20.2,30.7,54.1,,,
2991332,GN0,2018-05-08 15:00:00,,24.9,23.7,,,
2991333,KF1,2018-05-08 15:00:00,,,,,,
2991334,CD9,2018-05-08 15:00:00,,,,,,
2991335,CT3,2018-05-08 15:00:00,4.0,31.0,,,,
2991336,CT2,2018-05-08 15:00:00,18.0,,,,,
2991337,BX9,2018-05-08 15:00:00,17.5,,,,,
2991338,BX1,2018-05-08 15:00:00,,32.3,5.4,,,
2991339,TH4,2018-05-08 15:00:00,,,,,,
2991340,ST5,2018-05-08 15:00:00,17.0,38.0,36.2,,,
2991341,RB7,2018-05-08 15:00:00,17.0,,31.0,,,
2991342,TD5,2018-05-08 15:00:00,14.5,,,,,
2991344,CD1,2018-05-08 16:00:00,,22.0,37.5,,,
2991345,BL0,2018-05-08 16:00:00,,23.4,42.1,,,
2991346,GR4,2018-05-08 16:00:00,16.5,22.1,16.0,,,
2991347,MY7,2018-05-08 16:00:00,15.2,35.5,,,,
2991348,HV1,2018-05-08 16:00:00,16.7,33.3,45.4,,,
2991349,GN3,2018-05-08 16:00:00,18.0,29.1,37.4,,,
2991350,GR9,2018-05-08 16:00:00,12.8,26.2,25.0,,,
2991351,LW2,2018-05-08 16:00:00,15.6,34.2,72.6,,,
2991352,GN0,2018-05-08 16:00:00,,25.1,41.4,,,
2991353,KF1,2018-05-08 16:00:00,,,,,,
2991354,CD9,2018-05-08 16:00:00,,,,,,
2991355,CT3,2018-05-08 16:00:00,2.0,25.6,,,,
2991356,CT2,2018-05-08 16:00:00,11.0,,,,,
2991357,BX9,2018-05-08 16:00:00,15.6,,,,,
2991358,BX1,2018-05-08 16:00:00,,21.5,4.8,,,
2991359,TH4,2018-05-08 16:00:00,,,,,,
2991360,ST5,2018-05-08 16:00:00,13.0,34.0,30.5,,,
2991361,RB7,2018-05-08 16:00:00,19.0,,33.4,,,
2991362,TD5,2018-05-08 16:00:00,11.6,,,,,
2991435,CD1,2018-05-08 17:00:00,,20.2,28.5,,,
2991436,BL0,2018-05-08 17:00:00,,18.3,,,,
2991437,GR4,2018-05-08 17:00:00,9.9,22.8,17.4,,,
2991438,MY7,2018-05-08 17:00:00,17.4,31.9,,,,
2991439,HV1,2018-05-08 17:00:00,13.7,27.3,41.5,,,
2991440,GN3,2018-05-08 17:00:00,12.9,21.4,,,,
2991441,GR9,2018-05-08 17:00:00,10.1,21.0,14.3,,,
2991442,LW2,2018-05-08 17:00:00,16.7,26.4,57.3,,,
2991443,GN0,2018-05-08 17:00:00,,18.7,44.7,,,
2991444,KF1,2018-05-08 17:00:00,,,,,,
2991445,CD9,2018-05-08 17:00:00,,,,,,
2991446,CT3,2018-05-08 17:00:00,-2.0,22.0,,,,
2991447,CT2,2018-05-08 17:00:00,13.0,,,,,
2991448,BX9,2018-05-08 17:00:00,14.6,,,,,
2991449,BX1,2018-05-08 17:00:00,,24.5,10.3,,,
2991450,TH4,2018-05-08 17:00:00,,,,,,
2991451,ST5,2018-05-08 17:00:00,11.0,26.0,23.6,,,
2991452,RB7,2018-05-08 17:00:00,17.0,,24.4,,,
2991453,TD5,2018-05-08 17:00:00,9.6,,,,,
2991491,CD1,2018-05-08 18:00:00,,12.0,21.2,,,
2991492,BL0,2018-05-08 18:00:00,,11.7,,,,
2991493,GR4,2018-05-08 18:00:00,9.6,13.4,16.0,,,
2991494,MY7,2018-05-08 18:00:00,9.7,14.8,,,,
2991495,HV1,2018-05-08 18:00:00,8.8,24.5,29.8,,,
2991496,GN3,2018-05-08 18:00:00,11.0,19.8,43.9,,,
2991497,GR9,2018-05-08 18:00:00,5.8,13.4,15.8,,,
2991498,LW2,2018-05-08 18:00:00,13.6,21.1,63.2,,,
2991499,GN0,2018-05-08 18:00:00,,21.3,39.5,,,
2991500,KF1,2018-05-08 18:00:00,,,,,,
2991501,CD9,2018-05-08 18:00:00,,,51.6,,,
2991502,CT3,2018-05-08 18:00:00,-5.0,21.4,,,,
2991503,CT2,2018-05-08 18:00:00,10.0,,,,,
2991504,BX9,2018-05-08 18:00:00,12.9,,,,,
2991505,BX1,2018-05-08 18:00:00,,25.5,13.8,,,
2991506,TH4,2018-05-08 18:00:00,,,,,,
2991507,ST5,2018-05-08 18:00:00,21.0,21.0,15.7,,,
2991508,RB7,2018-05-08 18:00:00,12.0,,15.5,,,
2991509,TD5,2018-05-08 18:00:00,,,,,,
2991547,CD1,2018-05-08 19:00:00,,9.8,24.6,,,
2991548,BL0,2018-05-08 18:00:00,,11.7,,,,
2991549,GR4,2018-05-08 18:00:00,9.6,13.4,16.0,,,
2991550,MY7,2018-05-08 19:00:00,10.6,18.9,,,,
2991551,HV1,2018-05-08 19:00:00,8.1,14.2,22.7,,,
2991552,GN3,2018-05-08 18:00:00,11.0,19.8,43.9,,,
2991553,GR9,2018-05-08 19:00:00,2.7,6.5,13.2,,,
2991554,LW2,2018-05-08 19:00:00,10.6,20.5,56.4,,,
2991555,GN0,2018-05-08 19:00:00,,9.2,33.0,,,
2991556,KF1,2018-05-08 19:00:00,,,,,,
2991557,CD9,2018-05-08 19:00:00,,,49.0,,,
2991558,CT3,2018-05-08 19:00:00,-9.0,,,,,
2991559,CT2,2018-05-08 19:00:00,9.0,,,,,
2991560,BX9,2018-05-08 19:00:00,6.0,,,,,
2991561,BX1,2018-05-08 19:00:00,,,11.0,,,
2991562,TH4,2018-05-08 19:00:00,,,,,,
2991563,ST5,2018-05-08 19:00:00,20.0,,11.9,,,
2991564,RB7,2018-05-08 19:00:00,12.0,,15.9,,,
2991565,TD5,2018-05-08 19:00:00,4.7,,,,,
2991603,CD1,2018-05-08 20:00:00,,8.3,24.8,,,
2991604,BL0,2018-05-08 20:00:00,,10.5,58.5,,,
2991605,GR4,2018-05-08 20:00:00,4.1,8.6,18.6,,,
2991606,MY7,2018-05-08 20:00:00,12.5,19.3,,,,
2991607,HV1,2018-05-08 20:00:00,6.2,10.3,24.0,,,
2991608,GN3,2018-05-08 20:00:00,10.3,15.4,46.7,,,
2991609,GR9,2018-05-08 20:00:00,5.6,8.8,18.4,,,
2991610,LW2,2018-05-08 20:00:00,14.9,19.1,55.1,,,
2991611,GN0,2018-05-08 20:00:00,,10.0,45.7,,,
2991612,KF1,2018-05-08 20:00:00,,,,,,
2991613,CD9,2018-05-08 20:00:00,,,43.5,,,
2991614,CT3,2018-05-08 20:00:00,-11.0,13.2,,,,
2991615,CT2,2018-05-08 20:00:00,9.0,,,,,
2991616,BX9,2018-05-08 20:00:00,6.8,,,,,
2991617,BX1,2018-05-08 20:00:00,,14.3,17.4,,,
2991618,TH4,2018-05-08 20:00:00,,,,,,
2991619,ST5,2018-05-08 20:00:00,9.0,12.0,12.7,,,
2991620,RB7,2018-05-08 20:00:00,14.0,,17.5,,,
2991621,TD5,2018-05-08 20:00:00,,,,,,
2991623,CD1,2018-05-08 21:00:00,,9.1,23.3,,,
2991624,BL0,2018-05-08 21:00:00,,10.4,55.5,,,
2991625,GR4,2018-05-08 21:00:00,7.8,7.7,21.2,,,
2991626,MY7,2018-05-08 21:00:00,10.8,15.6,,,,
2991627,HV1,2018-05-08 21:00:00,4.2,7.8,15.6,,,
2991628,GN3,2018-05-08 21:00:00,6.7,11.0,35.8,,,
2991629,GR9,2018-05-08 21:00:00,3.7,12.5,20.1,,,
2991630,LW2,2018-05-08 21:00:00,6.5,17.8,43.8,,,
2991631,GN0,2018-05-08 21:00:00,,8.2,39.1,,,
2991632,KF1,2018-05-08 21:00:00,,,,,,
2991633,CD9,2018-05-08 21:00:00,,,42.4,,,
2991634,CT3,2018-05-08 21:00:00,-6.0,13.6,,,,
2991635,CT2,2018-05-08 21:00:00,11.0,,,,,
2991636,BX9,2018-05-08 21:00:00,6.3,,,,,
2991637,BX1,2018-05-08 21:00:00,,13.6,12.3,,,
2991638,TH4,2018-05-08 21:00:00,,,,,,
2991639,ST5,2018-05-08 21:00:00,10.0,12.0,10.9,,,
2991640,RB7,2018-05-08 21:00:00,12.0,,16.7,,,
2991641,TD5,2018-05-08 21:00:00,8.0,,,,,
2991679,CD1,2018-05-08 22:00:00,,14.0,25.9,,,
2991680,BL0,2018-05-08 22:00:00,,,,,,
2991681,GR4,2018-05-08 22:00:00,3.7,9.6,18.9,,,
2991682,MY7,2018-05-08 22:00:00,11.3,18.8,,,,
2991683,HV1,2018-05-08 22:00:00,6.1,8.8,14.2,,,
2991684,GN3,2018-05-08 22:00:00,7.0,10.5,30.9,,,
2991685,GR9,2018-05-08 22:00:00,,,,,,
2991686,LW2,2018-05-08 22:00:00,,,,,,
2991687,GN0,2018-05-08 22:00:00,,13.4,36.4,,,
2991688,KF1,2018-05-08 22:00:00,,,,,,
2991689,CD9,2018-05-08 22:00:00,,,44.5,,,
2991690,CT3,2018-05-08 22:00:00,0.0,7.0,,,,
2991691,CT2,2018-05-08 22:00:00,11.0,,,,,
2991692,BX9,2018-05-08 22:00:00,8.3,,,,,
2991693,BX1,2018-05-08 22:00:00,,12.5,7.5,,,
2991694,TH4,2018-05-08 22:00:00,,,,,,
2991695,ST5,2018-05-08 22:00:00,11.0,24.0,13.9,,,
2991696,RB7,2018-05-08 22:00:00,11.0,,16.7,,,
2991697,TD5,2018-05-08 22:00:00,,,,,,
2991735,CD1,2018-05-08 23:00:00,,18.6,19.7,,,
2991736,BL0,2018-05-08 23:00:00,,14.6,,,,
2991737,GR4,2018-05-08 23:00:00,9.2,10.7,19.0,,,
2991738,MY7,2018-05-08 23:00:00,11.5,21.7,,,,
2991739,HV1,2018-05-08 23:00:00,6.8,9.6,13.8,,,
2991740,GN3,2018-05-08 23:00:00,6.9,14.3,28.1,,,
2991741,GR9,2018-05-08 23:00:00,,,,,,
2991742,LW2,2018-05-08 23:00:00,11.1,20.5,55.5,,,
2991743,GN0,2018-05-08 23:00:00,,12.0,27.2,,,
2991744,KF1,2018-05-08 23:00:00,,,,,,
2991745,CD9,2018-05-08 23:00:00,,,39.2,,,
2991746,CT3,2018-05-08 23:00:00,0.0,15.2,,,,
2991747,CT2,2018-05-08 23:00:00,13.0,,,,,
2991748,BX9,2018-05-08 23:00:00,6.9,,,,,
2991749,BX1,2018-05-08 23:00:00,,11.8,7.8,,,
2991750,TH4,2018-05-08 23:00:00,,,,,,
2991751,ST5,2018-05-08 23:00:00,13.0,23.0,19.9,,,
2991752,RB7,2018-05-08 23:00:00,16.0,,15.7,,,
2991753,TD5,2018-05-08 23:00:00,11.6,,,,,
2991791,CD1,2018-05-09 00:00:00,,19.7,16.8,,,
2991792,BL0,2018-05-09 00:00:00,,,,,,
2991793,GR4,2018-05-09 00:00:00,9.1,20.2,17.6,,,
2991794,MY7,2018-05-09 00:00:00,12.7,20.9,,,,
2991795,HV1,2018-05-09 00:00:00,3.8,7.5,15.7,,,
2991796,GN3,2018-05-09 00:00:00,7.5,15.1,28.1,,,
2991797,GR9,2018-05-09 00:00:00,8.6,17.8,19.1,,,
2991798,LW2,2018-05-09 00:00:00,14.7,16.7,51.7,,,
2991799,GN0,2018-05-09 00:00:00,,11.9,28.8,,,
2991800,KF1,2018-05-09 00:00:00,,,,,,
2991801,CD9,2018-05-09 00:00:00,,,37.5,,,
2991802,CT3,2018-05-09 00:00:00,29.0,,,,,
2991803,CT2,2018-05-09 00:00:00,8.0,,,,,
2991804,BX9,2018-05-09 00:00:00,8.2,,,,,
2991805,BX1,2018-05-09 00:00:00,,,18.9,,,
2991806,TH4,2018-05-09 00:00:00,,,,,,
2991807,ST5,2018-05-09 00:00:00,14.0,,20.4,,,
2991808,RB7,2018-05-09 00:00:00,10.0,,15.6,,,
2991809,TD5,2018-05-09 00:00:00,10.8,,,,,
2991847,CD1,2018-05-09 01:00:00,,19.8,17.5,,,
2991848,BL0,2018-05-09 01:00:00,,17.8,,,,
2991849,GR4,2018-05-09 01:00:00,9.1,20.0,20.7,,,
2991850,MY7,2018-05-09 01:00:00,13.6,22.4,,,,
2991851,HV1,2018-05-09 01:00:00,5.6,12.0,17.8,,,
2991852,GN3,2018-05-09 01:00:00,10.8,17.2,21.6,,,
2991853,GR9,2018-05-09 01:00:00,10.4,21.0,17.7,,,
2991854,LW2,2018-05-09 01:00:00,12.7,19.6,33.0,,,
2991855,GN0,2018-05-09 01:00:00,,18.7,28.0,,,
2991856,KF1,2018-05-09 01:00:00,,18.2,,,,
2991857,CD9,2018-05-09 01:00:00,,,30.1,,,
2991858,CT3,2018-05-09 01:00:00,2.0,,,,,
2991859,CT2,2018-05-09 01:00:00,13.0,,,,,
2991860,BX9,2018-05-09 01:00:00,11.2,,,,,
2991861,BX1,2018-05-09 01:00:00,,,20.4,,,
2991862,TH4,2018-05-09 01:00:00,,,,,,
2991863,ST5,2018-05-09 01:00:00,14.0,,18.1,,,
2991864,RB7,2018-05-09 01:00:00,16.0,,17.2,,,
2991865,TD5,2018-05-09 01:00:00,9.2,,,,,
2991903,CD1,2018-05-09 02:00:00,,20.5,18.8,,,
2991904,BL0,2018-05-09 02:00:00,,,,,,
2991905,GR4,2018-05-09 02:00:00,10.2,18.8,18.3,,,
2991906,MY7,2018-05-09 02:00:00,12.1,26.2,,,,
2991907,HV1,2018-05-09 02:00:00,6.5,12.1,20.5,,,
2991908,GN3,2018-05-09 02:00:00,11.0,19.1,31.4,,,
2991909,GR9,2018-05-09 02:00:00,9.5,24.1,29.1,,,
2991910,LW2,2018-05-09 02:00:00,14.4,23.7,26.6,,,
2991911,GN0,2018-05-09 02:00:00,,24.7,31.4,,,
2991912,KF1,2018-05-09 02:00:00,,19.7,,,,
2991913,CD9,2018-05-09 02:00:00,,,42.0,,,
2991914,CT3,2018-05-09 02:00:00,3.0,,,,,
2991915,CT2,2018-05-09 02:00:00,14.0,,,,,
2991916,BX9,2018-05-09 02:00:00,10.9,,,,,
2991917,BX1,2018-05-09 02:00:00,,,18.7,,,
2991918,TH4,2018-05-09 02:00:00,,,,,,
2991919,ST5,2018-05-09 02:00:00,17.0,,16.6,,,
2991920,RB7,2018-05-09 02:00:00,13.0,,20.0,,,
2991921,TD5,2018-05-09 02:00:00,8.8,,,,,
2991959,CD1,2018-05-09 03:00:00,,19.3,21.2,,,
2991960,BL0,2018-05-09 03:00:00,,22.0,,,,
2991961,GR4,2018-05-09 03:00:00,9.0,23.4,18.0,,,
2991962,MY7,2018-05-09 03:00:00,15.4,26.9,,,,
2991963,HV1,2018-05-09 03:00:00,11.9,17.4,23.6,,,
2991964,GN3,2018-05-09 03:00:00,11.8,22.6,31.4,,,
2991965,GR9,2018-05-09 03:00:00,11.4,26.5,38.8,,,
2991966,LW2,2018-05-09 03:00:00,19.7,26.3,38.8,,,
2991967,GN0,2018-05-09 03:00:00,,25.9,30.7,,,
2991968,KF1,2018-05-09 03:00:00,,,,,,
2991969,CD9,2018-05-09 03:00:00,,,50.3,,,
2991970,CT3,2018-05-09 03:00:00,5.0,,,,,
2991971,CT2,2018-05-09 03:00:00,15.0,,,,,
2991972,BX9,2018-05-09 03:00:00,11.0,,,,,
2991973,BX1,2018-05-09 03:00:00,,,20.0,,,
2991974,TH4,2018-05-09 03:00:00,,,,,,
2991975,ST5,2018-05-09 03:00:00,12.0,,20.7,,,
2991976,RB7,2018-05-09 03:00:00,16.0,,26.6,,,
2991977,TD5,2018-05-09 03:00:00,7.8,,,,,
2992015,CD1,2018-05-09 04:00:00,,18.5,30.7,,,
2992016,BL0,2018-05-09 04:00:00,,,,,,
2992017,GR4,2018-05-09 04:00:00,11.9,20.6,21.5,,,
2992018,MY7,2018-05-09 04:00:00,15.9,28.4,,,,
2992019,HV1,2018-05-09 04:00:00,11.1,17.4,30.5,,,
2992020,GN3,2018-05-09 04:00:00,13.8,23.5,42.9,,,
2992021,GR9,2018-05-09 04:00:00,,,,,,
2992022,LW2,2018-05-09 04:00:00,16.0,22.6,47.4,,,
2992023,GN0,2018-05-09 04:00:00,,21.6,42.5,,,
2992024,KF1,2018-05-09 04:00:00,13.4,19.0,,,,
2992025,CD9,2018-05-09 04:00:00,,,55.9,,,
