stationid,time,weekday,PM25,PM10,O3,NO2,CO,SO2,temperature,pressure,humidity,winddirection,windspeed
aotizhongxin_aq,9,4,,,,,,,23.975,1002.1487875,43.25,167.85750000000004,14.6725
aotizhongxin_aq,10,4,,,,,,,23.7125,1002.0258535505516,46.25,165.97249999999997,14.3475
aotizhongxin_aq,11,4,,,,,,,23.265,1002.0985579896167,49.25,164.6375,14.1075
aotizhongxin_aq,12,4,,,,,,,22.065,1002.38823125,52.25,163.3325,13.7975
aotizhongxin_aq,13,4,,,,,,,20.9025,1002.8741925548024,54.75,161.51250000000005,13.27
aotizhongxin_aq,14,4,,,,,,,19.7825,1003.367716288285,57.0,158.7925,12.4125
aotizhongxin_aq,15,4,,,,,,,18.6925,1003.638065625,58.25,154.5125,11.152500000000002
aotizhongxin_aq,16,4,,,,,,,18.015,1003.5212754200523,59.25,147.53,9.505
aotizhongxin_aq,17,4,,,,,,,17.43,1003.12046725076,60.25,136.745,7.772500000000001
aotizhongxin_aq,18,4,,,,,,,16.9375,1002.605534375,60.75,121.1125,6.3100000000000005
aotizhongxin_aq,19,4,,,,,,,16.5325,1002.1313671075801,62.0,100.805,5.425
aotizhongxin_aq,20,4,,,,,,,16.224999999999998,1001.7928439910767,63.5,81.745,5.3075
aotizhongxin_aq,21,4,,,,,,,16.0,1001.669840625,63.5,73.0025,5.69
aotizhongxin_aq,22,4,,,,,,,16.235,1001.7981670292514,63.0,75.6825,6.2075000000000005
aotizhongxin_aq,23,4,,,,,,,17.6275,1002.0373709053005,60.75,84.5325,6.6000000000000005
badaling_aq,18,2,69.0,151.0,32.0,125.0,0.6,6.0,15.0,943.2102749999999,49.5,50.2225,2.1750000000000003
badaling_aq,19,2,74.0,196.0,2.0,159.0,0.6,11.0,15.0,943.01705,51.0,35.0225,2.7525000000000004
badaling_aq,20,2,75.0,178.0,2.0,157.0,0.7,8.0,15.0,942.8927,52.0,26.82,3.0925
badaling_aq,21,2,68.0,126.0,25.0,102.0,0.5,3.0,15.0,942.8540499999999,51.25,28.8125,3.21
badaling_aq,22,2,63.0,106.0,35.0,100.0,0.5,2.0,14.0,942.875675,49.25,35.365,4.4125
badaling_aq,23,2,61.0,109.0,22.0,112.0,0.5,3.0,14.0,942.9595999999999,45.0,53.1075,4.4125
badaling_aq,0,3,,,,,,,19.13,942.9923031250003,39.75,71.75,4.5075
badaling_aq,1,3,,,,,,,21.17,942.8993309521736,35.5,88.9875,4.5325
badaling_aq,2,3,,,,,,,22.4,942.6410345517556,31.5,106.9925,4.9750000000000005
badaling_aq,3,3,,,,,,,23.43,942.1865000000006,29.0,120.93500000000002,6.5225
badaling_aq,4,3,,,,,,,24.27,941.5352436944873,27.25,127.525,9.385
badaling_aq,5,3,,,,,,,24.8,940.8085033180882,26.75,130.805,12.665
badaling_aq,6,3,,,,,,,25.0,940.1579468750006,26.5,134.04500000000002,15.3
badaling_aq,7,3,,,,,,,24.8,939.7006293393252,26.5,138.6475,16.545
badaling_aq,8,3,,,,,,,24.6,939.415153564784,27.0,143.81,16.475
badaling_aq,9,3,,,,,,,24.1,939.2455093750007,27.75,148.2525,15.25
badaling_aq,10,3,,,,,,,23.4,939.1604661472884,28.25,150.915,12.935
badaling_aq,11,3,,,,,,,22.0,939.2279114737069,29.5,153.695,9.9025
badaling_aq,12,3,,,,,,,20.6,939.5405125000003,32.0,162.285,6.73
badaling_aq,13,3,,,,,,,19.6,940.122346696524,35.75,191.0225,4.5175
badaling_aq,14,3,,,,,,,18.2,940.72313283206,41.0,233.5725,4.635
badaling_aq,15,3,,,,,,,17.2,941.0240000000006,46.5,256.0475,5.41
badaling_aq,16,3,,,,,,,15.8,940.8064499601379,51.25,272.37,4.950000000000001
badaling_aq,17,3,,,,,,,15.6,940.2534751378712,55.75,296.7925,3.8275
badaling_aq,18,3,,,,,,,15.2,939.6484406250006,59.5,333.0499999999999,3.4275
badaling_aq,19,3,,,,,,,15.1,939.217817120335,63.0,179.645,3.91
badaling_aq,20,3,,,,,,,15.0,938.9604977507178,64.5,17.31,4.39
badaling_aq,21,3,,,,,,,15.6,938.8184812500006,65.25,36.06,4.6675
badaling_aq,22,3,,,,,,,16.2,938.7417962575996,64.25,60.3175,5.1675
badaling_aq,23,3,,,,,,,17.0925,938.7125910351872,61.5,85.6,6.205
badaling_aq,0,4,,,,,,,17.9225,938.7210437500006,57.25,108.9925,7.79
badaling_aq,1,4,,,,,,,18.78,938.7406897474186,51.5,129.84,9.9925
badaling_aq,2,4,,,,,,,19.58,938.6784930853888,45.75,145.22750000000005,12.7775
badaling_aq,3,4,,,,,,,20.2325,938.4247750000006,41.5,155.10500000000005,15.4775
badaling_aq,4,4,,,,,,,20.675,937.9151153545813,40.25,161.0325,17.3275
badaling_aq,5,4,,,,,,,20.9175,937.2661285214097,41.5,164.6525,18.1175
badaling_aq,6,4,,,,,,,21.0,936.6396875000003,44.0,166.64249999999996,17.8425
badaling_aq,7,4,,,,,,,20.92,936.1660863342596,47.75,167.08,16.585
badaling_aq,8,4,,,,,,,20.7,935.849303245644,51.5,165.94000000000003,14.68
badaling_aq,9,4,,,,,,,20.3125,935.6617375000003,55.5,162.91750000000005,12.5325
badaling_aq,10,4,,,,,,,19.7725,935.5869339843097,59.75,157.585,10.5275
badaling_aq,11,4,,,,,,,19.1075,935.6530200700917,63.5,150.1425,8.875
badaling_aq,12,4,,,,,,,18.0,935.8992687500006,67.5,141.935,7.667499999999999
badaling_aq,13,4,,,,,,,16.957500000000003,936.3199151127643,71.0,135.2175,6.84
badaling_aq,14,4,,,,,,,15.9625,936.7290426314007,74.25,130.76999999999998,6.33
badaling_aq,15,4,,,,,,,14.9975,936.8956968750006,77.0,128.4275,6.114999999999998
badaling_aq,16,4,,,,,,,14.045,936.662435657229,79.5,127.5775,6.1725
badaling_aq,17,4,,,,,,,13.6925,936.1658657700495,81.75,127.595,6.215
badaling_aq,18,4,,,,,,,13.365,935.6161062500003,84.25,127.84,5.91
badaling_aq,19,4,,,,,,,13.114999999999998,935.190103485175,87.25,127.87,5.055
badaling_aq,20,4,,,,,,,13.0175,934.932113269886,89.75,128.185,4.0725
badaling_aq,21,4,,,,,,,13.0,934.8532187500003,89.5,130.0,3.53
badaling_aq,22,4,,,,,,,14.2425,934.9424711196665,86.5,133.8025,3.835
badaling_aq,23,4,,,,,,,15.6675,935.1007937661503,80.25,138.37,4.7475000000000005
beibuxinqu_aq,18,2,42.0,106.0,46.0,51.0,0.6,2.0,18.0,987.75455,38.25,188.7775,1.6625
beibuxinqu_aq,19,2,43.0,110.0,27.0,66.0,0.7,2.0,18.0,989.0432000000001,39.5,186.6125,1.885
beibuxinqu_aq,20,2,44.0,92.0,12.0,75.0,0.8,2.0,18.0,988.6103500000002,41.0,98.00499999999998,2.4175000000000004
beibuxinqu_aq,21,2,44.0,101.0,3.0,78.0,0.8,2.0,18.2,989.6279000000001,40.75,108.4625,3.3775000000000004
beibuxinqu_aq,22,2,45.0,107.0,3.0,85.0,0.9,2.0,16.0,989.88535,40.0,36.112500000000004,3.6425
beibuxinqu_aq,23,2,52.0,129.0,9.0,79.0,0.9,2.0,17.25,987.999625,37.0,56.3925,4.2425
beibuxinqu_aq,0,3,,,,,,,21.31,987.5523312499994,33.5,74.2,4.98
beibuxinqu_aq,1,3,,,,,,,22.977500000000006,987.4636055365256,30.0,89.65,5.500000000000001
beibuxinqu_aq,2,3,,,,,,,24.0875,987.1717967272723,27.5,106.2375,5.9575
beibuxinqu_aq,3,3,,,,,,,24.9975,986.6434374999994,25.25,122.9075,6.802499999999998
beibuxinqu_aq,4,3,,,,,,,25.5025,985.8765311449623,24.25,136.5725,8.232500000000002
beibuxinqu_aq,5,3,,,,,,,26.125,984.9949634023883,23.25,146.3825,9.92
beibuxinqu_aq,6,3,,,,,,,26.175,984.1540906249994,22.5,153.675,11.425
beibuxinqu_aq,7,3,,,,,,,26.2,983.4816534484387,22.5,159.73250000000004,12.4075
beibuxinqu_aq,8,3,,,,,,,26.125,982.9949296400251,22.5,164.73749999999995,12.697499999999998
beibuxinqu_aq,9,3,,,,,,,25.975,982.6835812499997,22.5,168.45499999999996,12.1225
beibuxinqu_aq,10,3,,,,,,,25.175,982.5460128159116,22.75,170.7975,10.5375
beibuxinqu_aq,11,3,,,,,,,24.2,982.6155988245464,23.75,173.34500000000003,8.105
beibuxinqu_aq,12,3,,,,,,,23.0,982.9344562499997,25.75,180.9425,5.1125
beibuxinqu_aq,13,3,,,,,,,22.175,983.4928212138408,28.0,219.2075,2.4675
beibuxinqu_aq,14,3,,,,,,,20.975,984.0734064275293,30.75,289.1075,3.2550000000000003
beibuxinqu_aq,15,3,,,,,,,20.15,984.4070437499997,33.5,306.8325,4.977500000000001
beibuxinqu_aq,16,3,,,,,,,19.1,984.307306495392,37.0,311.9175,5.2825000000000015
beibuxinqu_aq,17,3,,,,,,,18.5,983.9187337986698,40.0,315.4275,4.4575
beibuxinqu_aq,18,3,,,,,,,18.200000000000006,983.4686062499997,42.75,323.4725,3.25
beibuxinqu_aq,19,3,,,,,,,18.1,983.1421766471816,45.0,256.615,2.4375
beibuxinqu_aq,20,3,,,,,,,18.35,982.9565866185326,46.25,25.205,2.6175
beibuxinqu_aq,21,3,,,,,,,18.6,982.8869499999997,46.25,49.5375,3.75
beibuxinqu_aq,22,3,,,,,,,19.2975,982.9056058973624,46.0,63.065,5.2375
beibuxinqu_aq,23,3,,,,,,,20.2825,982.9737944957187,44.5,74.08,6.415
beibuxinqu_aq,0,4,,,,,,,21.0575,983.0499812499997,42.0,88.69000000000003,6.789999999999999
beibuxinqu_aq,1,4,,,,,,,21.840000000000003,983.0865143467024,40.0,113.725,6.7349999999999985
beibuxinqu_aq,2,4,,,,,,,22.56,983.0112728985913,37.5,142.94,7.952499999999999
beibuxinqu_aq,3,4,,,,,,,23.14,982.7460187499997,36.0,161.2075,10.55
beibuxinqu_aq,4,4,,,,,,,23.5375,982.2481186602722,36.5,168.91500000000005,13.232500000000002
beibuxinqu_aq,5,4,,,,,,,23.765,981.6173590488036,37.5,171.695,15.197500000000002
beibuxinqu_aq,6,4,,,,,,,23.905,980.9891312499994,40.0,172.20499999999996,16.057499999999994
beibuxinqu_aq,7,4,,,,,,,23.9775,980.475634160356,42.25,171.43,15.6825
beibuxinqu_aq,8,4,,,,,,,23.8125,980.0962969247126,45.0,169.7675,14.5425
beibuxinqu_aq,9,4,,,,,,,23.535,979.8473562499997,47.75,167.5825,13.255
beibuxinqu_aq,10,4,,,,,,,23.1175,979.7322637955265,51.25,165.47,12.2775
beibuxinqu_aq,11,4,,,,,,,22.56,979.783331030123,55.0,163.5575,11.5325
beibuxinqu_aq,12,4,,,,,,,21.4725,980.0400843749994,58.25,161.6825,10.8275
beibuxinqu_aq,13,4,,,,,,,20.4325,980.4961460742044,61.5,159.475,10.015
beibuxinqu_aq,14,4,,,,,,,19.4325,980.961521663128,63.5,156.2275,9.1325
beibuxinqu_aq,15,4,,,,,,,18.47,981.2003124999997,65.5,150.97249999999997,8.295
beibuxinqu_aq,16,4,,,,,,,17.765,981.046983620619,66.75,143.0,7.61
beibuxinqu_aq,17,4,,,,,,,17.08,980.6174547710676,67.25,133.09,6.9875
beibuxinqu_aq,18,4,,,,,,,16.725,980.0980093749994,68.75,121.65,6.177499999999998
beibuxinqu_aq,19,4,,,,,,,16.4375,979.6528432859124,71.0,107.1525,5.0875
beibuxinqu_aq,20,4,,,,,,,16.295,979.3578020766744,72.75,89.14000000000001,4.2575
beibuxinqu_aq,21,4,,,,,,,16.25,979.2666437499997,73.25,76.365,4.0525
beibuxinqu_aq,22,4,,,,,,,16.855,979.396832703324,71.25,79.0875,4.3275
beibuxinqu_aq,23,4,,,,,,,18.1225,979.6206589129744,66.75,91.465,4.92
daxing_aq,18,2,66.0,146.0,89.0,50.0,0.8,8.0,17.25,1013.254925,34.5,196.84500000000003,10.5475
daxing_aq,19,2,70.0,156.0,38.0,111.0,0.9,6.0,17.25,1013.051925,36.75,194.59750000000003,9.31
daxing_aq,20,2,80.0,171.0,41.0,87.0,1.0,4.0,17.25,1012.921275,39.0,190.45999999999998,7.884999999999999
daxing_aq,21,2,86.0,164.0,31.0,96.0,1.0,4.0,17.45,1012.9799749999999,40.0,185.44,6.6075
daxing_aq,22,2,85.0,180.0,2.0,127.0,1.1,4.0,15.0,1012.9977250000001,38.0,188.11249999999998,6.992500000000001
daxing_aq,23,2,89.0,180.0,15.0,111.0,1.2,6.0,16.5,1013.1351750000001,35.75,190.34750000000003,6.529999999999999
daxing_aq,0,3,,,,,,,22.085,1013.157134375,32.75,196.4175,6.575000000000001
daxing_aq,1,3,,,,,,,23.265,1013.0117566631301,29.75,204.2675,7.2025
daxing_aq,2,3,,,,,,,24.25,1012.6435201570724,27.25,210.41,8.515
daxing_aq,3,3,,,,,,,25.035000000000004,1012.0434625,25.0,212.8575,10.45
daxing_aq,4,3,,,,,,,25.515,1011.2270005599223,23.25,212.1275,12.822499999999998
daxing_aq,5,3,,,,,,,26.0,1010.3070681041924,22.25,209.8975,15.135
daxing_aq,6,3,,,,,,,25.9,1009.420978125,21.25,206.9575,16.787499999999998
daxing_aq,7,3,,,,,,,25.8,1008.6848415601427,20.75,203.42,17.35
daxing_aq,8,3,,,,,,,25.7,1008.1299611298599,20.0,199.575,17.03
daxing_aq,9,3,,,,,,,25.6,1007.7664375,20.5,196.01,16.1525
daxing_aq,10,3,,,,,,,24.025,1007.6067228407152,21.25,193.5175,14.9475
daxing_aq,11,3,,,,,,,23.05,1007.672675339335,22.75,192.5425,13.57
daxing_aq,12,3,,,,,,,21.775,1007.9885046875,24.5,193.685,12.1775
daxing_aq,13,3,,,,,,,20.9,1008.532308396445,26.25,197.6975,10.9375
daxing_aq,14,3,,,,,,,19.625,1009.09773525585,28.0,204.84,9.8725
daxing_aq,15,3,,,,,,,18.75,1009.432321875,29.5,215.0425,8.985
daxing_aq,16,3,,,,,,,18.075,1009.3617610503524,30.5,227.175,8.299999999999999
daxing_aq,17,3,,,,,,,17.75,1009.0243703270726,31.0,236.46750000000003,7.74
daxing_aq,18,3,,,,,,,17.424999999999994,1008.6366234375,32.0,236.34,6.8925
daxing_aq,19,3,,,,,,,17.25,1008.3733555618652,32.75,218.505,5.835
daxing_aq,20,3,,,,,,,17.9925,1008.2428476719673,33.5,188.4425,5.775
daxing_aq,21,3,,,,,,,18.72,1008.2117421875,34.0,165.85000000000005,6.4350000000000005
daxing_aq,22,3,,,,,,,19.6425,1008.2480528711676,34.0,152.625,6.3125
daxing_aq,23,3,,,,,,,21.200000000000006,1008.32527885774,34.0,146.0625,5.807500000000001
daxing_aq,0,4,,,,,,,22.11,1008.418290625,34.0,150.8975,5.9675
daxing_aq,1,4,,,,,,,22.9025,1008.4935259511501,33.5,164.35250000000005,7.9875
daxing_aq,2,4,,,,,,,23.495,1008.4836918160499,34.25,172.9575,11.3125
daxing_aq,3,4,,,,,,,23.8475,1008.3130625,35.0,176.2525,14.225
daxing_aq,4,4,,,,,,,23.9825,1007.9335003265552,36.75,176.45749999999995,15.4
daxing_aq,5,4,,,,,,,24.0,1007.4072197924023,38.5,175.0325,15.41
daxing_aq,6,4,,,,,,,23.9775,1006.8240234375,40.0,172.85500000000005,15.2775
daxing_aq,7,4,,,,,,,23.9475,1006.2685140042024,42.0,170.89499999999995,15.7575
daxing_aq,8,4,,,,,,,23.925,1005.80449504443,43.75,169.3275,16.47
daxing_aq,9,4,,,,,,,23.817500000000006,1005.4905703125,45.75,167.89,16.759999999999998
daxing_aq,10,4,,,,,,,23.2975,1005.3748140848776,49.0,166.2025,16.189999999999998
daxing_aq,11,4,,,,,,,22.0875,1005.4631827266353,52.75,164.0425,15.1225
daxing_aq,12,4,,,,,,,20.8875,1005.751103125,56.0,161.405,14.12
daxing_aq,13,4,,,,,,,19.7725,1006.2001052349924,57.75,158.6875,13.545
daxing_aq,14,4,,,,,,,18.72,1006.6361312828226,59.0,156.53500000000003,12.975
daxing_aq,15,4,,,,,,,17.66,1006.8512265625,60.0,155.34,11.7875
daxing_aq,16,4,,,,,,,17.07,1006.6981268964475,61.75,155.265,9.58
daxing_aq,17,4,,,,,,,16.605,1006.2723302207726,63.25,155.34,6.8275000000000015
daxing_aq,18,4,,,,,,,16.295,1005.730025,65.0,152.05499999999995,4.2425
daxing_aq,19,4,,,,,,,16.11,1005.2171442394023,66.75,134.47,2.5525
daxing_aq,20,4,,,,,,,16.0225,1004.8385991072349,68.0,91.3,2.4875
daxing_aq,21,4,,,,,,,16.182499999999994,1004.6890453125,68.0,76.105,3.9375
daxing_aq,22,4,,,,,,,16.455,1004.8140286690947,66.25,80.46000000000002,5.737500000000002
daxing_aq,23,4,,,,,,,17.955,1005.0626554104774,63.0,88.045,7.0825000000000005
dingling_aq,18,2,32.0,75.0,107.0,20.0,0.6,5.0,18.0,990.891175,39.0,46.8575,4.895
dingling_aq,19,2,39.0,79.0,114.0,22.0,0.6,5.0,18.0,989.7031999999999,40.5,34.7475,5.695
dingling_aq,20,2,46.0,85.0,91.0,26.0,0.7,4.0,18.0,990.6756750000001,41.5,27.345,6.032500000000001
dingling_aq,21,2,48.0,80.0,87.0,29.0,0.8,4.0,18.0,989.99115,41.75,25.3125,6.08
dingling_aq,22,2,54.0,83.0,65.0,37.0,0.8,3.0,15.0,993.3550749999999,40.75,34.065,6.147500000000001
dingling_aq,23,2,49.0,85.0,53.0,44.0,0.8,4.0,17.0,990.799325,38.5,48.605,5.675000000000001
dingling_aq,0,3,,,,,,,21.15,988.8040210937507,35.0,69.96,5.3775
dingling_aq,1,3,,,,,,,22.7,988.6753917094487,32.0,94.52,5.415
dingling_aq,2,3,,,,,,,24.05,988.350944359798,29.0,117.62,6.164999999999999
dingling_aq,3,3,,,,,,,25.2,987.8100023437503,26.5,132.58249999999998,7.625
dingling_aq,4,3,,,,,,,26.0,987.0596884727893,25.0,139.57999999999998,9.3625
dingling_aq,5,3,,,,,,,26.9,986.2183236085017,24.25,143.715,10.9825
dingling_aq,6,3,,,,,,,27.0,985.4320281250003,23.5,148.5,12.2975
dingling_aq,7,3,,,,,,,27.0,984.8181489595813,23.25,155.145,13.2675
dingling_aq,8,3,,,,,,,26.8,984.3789393022644,23.25,161.04000000000005,13.6875
dingling_aq,9,3,,,,,,,26.7,984.0878789062504,24.0,163.385,13.0375
dingling_aq,10,3,,,,,,,25.5,983.9348812849536,24.75,159.535,10.95
dingling_aq,11,3,,,,,,,24.0,983.9755949926304,25.75,149.96249999999995,8.0425
dingling_aq,12,3,,,,,,,22.8,984.2821023437504,27.5,137.58749999999998,4.8775
dingling_aq,13,3,,,,,,,21.9,984.8640412651913,29.25,135.0325,1.425
dingling_aq,14,3,,,,,,,20.7,985.4812721334672,31.75,299.495,2.1675
dingling_aq,15,3,,,,,,,19.8,985.8312109375006,34.75,303.665,4.5025
dingling_aq,16,3,,,,,,,18.6,985.704656345256,38.0,315.005,5.125000000000001
dingling_aq,17,3,,,,,,,18.2,985.2659377408653,41.75,334.39,4.9325
dingling_aq,18,3,,,,,,,18.1,984.7727671875003,45.25,266.3775,4.9625
dingling_aq,19,3,,,,,,,18.0,984.4334911662877,48.0,11.835,5.26
dingling_aq,20,3,,,,,,,18.6,984.2589938301584,49.75,23.0975,5.5375
dingling_aq,21,3,,,,,,,19.2,984.2107937500003,51.0,34.305,5.9
dingling_aq,22,3,,,,,,,19.8,984.2487134803383,51.0,46.9975,6.5150000000000015
dingling_aq,23,3,,,,,,,20.7725,984.3257915102616,49.5,61.5725,6.9700000000000015
dingling_aq,0,4,,,,,,,21.595,984.3933703125003,46.75,82.5,6.95
dingling_aq,1,4,,,,,,,22.425,984.3993863938434,42.25,114.925,7.3675
dingling_aq,2,4,,,,,,,23.155,984.2781523973152,37.25,143.98000000000005,9.8375
dingling_aq,3,4,,,,,,,23.6725,983.9605750000003,33.75,159.6225,13.404999999999998
dingling_aq,4,4,,,,,,,23.935,983.414017709338,33.25,166.89499999999995,16.4525
dingling_aq,5,4,,,,,,,24.0,982.7516713541844,34.25,170.13,18.3725
dingling_aq,6,4,,,,,,,23.975,982.1231835937506,36.75,170.76749999999996,18.9675
dingling_aq,7,4,,,,,,,23.87,981.6478821495951,40.25,169.08499999999995,18.2575
dingling_aq,8,4,,,,,,,23.625,981.3238149926642,44.0,165.7125,16.75
dingling_aq,9,4,,,,,,,23.1975,981.1187101562504,47.75,161.6125,15.025
dingling_aq,10,4,,,,,,,22.65,981.0160002489972,50.75,158.11249999999995,13.48
dingling_aq,11,4,,,,,,,21.9875,981.0619361809488,54.0,155.1925,12.1375
dingling_aq,12,4,,,,,,,20.94,981.3184734375003,57.25,152.14999999999995,10.9725
dingling_aq,13,4,,,,,,,19.9275,981.7945474678461,60.25,148.1775,10.0025
dingling_aq,14,4,,,,,,,18.9475,982.2870135763684,63.5,143.2375,9.255
dingling_aq,15,4,,,,,,,17.9875,982.5397070312503,65.75,137.7,8.754999999999999
dingling_aq,16,4,,,,,,,17.6125,982.3732222638823,67.25,132.095,8.455
dingling_aq,17,4,,,,,,,17.3075,981.9151903584875,68.75,126.625,8.1075
dingling_aq,18,4,,,,,,,17.119999999999994,981.3700015625003,70.25,120.6975,7.4025
dingling_aq,19,4,,,,,,,17.02,980.9148540437587,72.25,112.8175,6.2175
dingling_aq,20,4,,,,,,,17.0,980.6181776517208,74.25,102.6525,5.0325
dingling_aq,21,4,,,,,,,17.0,980.5212101562503,74.25,94.345,4.317500000000001
dingling_aq,22,4,,,,,,,17.0,980.6325101143268,72.25,96.0175,4.23
dingling_aq,23,4,,,,,,,18.0525,980.8299192313913,68.5,106.855,4.6275
donggaocun_aq,18,2,53.0,71.0,104.0,26.0,0.9,11.0,17.0,1000.5624333333332,43.833333333333336,89.455,8.073333333333334
donggaocun_aq,19,2,62.0,81.0,109.0,28.0,0.9,11.0,17.0,1000.3346333333334,45.166666666666664,85.79833333333335,7.740000000000001
donggaocun_aq,20,2,70.0,81.0,96.0,28.0,0.9,12.0,17.0,1000.1559333333333,46.5,84.02333333333333,7.4816666666666665
donggaocun_aq,21,2,70.0,75.0,118.0,28.0,0.9,15.0,17.333333333333332,1000.9027000000001,46.666666666666664,86.28000000000002,7.308333333333333
donggaocun_aq,22,2,80.0,88.0,119.0,31.0,1.0,17.0,16.0,1000.0924833333333,44.0,99.695,6.579999999999999
donggaocun_aq,23,2,76.0,88.0,118.0,31.0,0.9,16.0,17.0,1000.1256,41.666666666666664,114.33999999999999,6.425
donggaocun_aq,0,3,,,,,,,21.55333333333333,1000.9392187499997,38.5,136.97833333333332,6.16
donggaocun_aq,1,3,,,,,,,23.18,1000.759880002014,36.0,169.78166666666667,6.44
donggaocun_aq,2,3,,,,,,,24.43333333333333,1000.3964947242376,33.333333333333336,197.0483333333333,8.393333333333334
donggaocun_aq,3,3,,,,,,,25.486666666666668,999.8229781249997,31.0,210.475,10.815
donggaocun_aq,4,3,,,,,,,26.24666666666667,999.0420522882947,29.0,215.23333333333332,12.316666666666668
donggaocun_aq,5,3,,,,,,,27.0,998.1716668008348,27.83333333333333,216.6083333333333,12.943333333333333
donggaocun_aq,6,3,,,,,,,26.83333333333334,997.3585781249997,27.16666666666667,217.2783333333333,13.263333333333335
donggaocun_aq,7,3,,,,,,,26.66666666666667,996.7221039003592,27.5,218.31000000000003,13.648333333333332
donggaocun_aq,8,3,,,,,,,26.5,996.2718064752015,28.5,217.7433333333333,13.571666666666667
donggaocun_aq,9,3,,,,,,,26.33333333333333,995.989809375,29.83333333333333,212.48666666666668,12.338333333333333
donggaocun_aq,10,3,,,,,,,25.4,995.868768568602,31.5,197.07666666666668,10.015
donggaocun_aq,11,3,,,,,,,23.66666666666667,995.9434697983593,33.166666666666664,167.72,8.463333333333333
